theta           phi             x                y                z                Bx               By               Bz
2.02683397E-01  1.73158650E+00  -1.70230596E+00  +1.04957310E+01  -2.40662039E-01  -3.13608403E-01  -7.20125282E-02  +6.59340442E-03
2.02683397E-01  1.78106040E+00  -2.21283734E+00  +1.03685342E+01  -2.10420167E-01  -3.12510582E-01  -8.38206270E-02  +1.12793852E-02
2.02683397E-01  1.83053430E+00  -2.71712794E+00  +1.02247226E+01  -1.73875170E-01  -3.10772568E-01  -9.45901718E-02  +1.47483567E-02
2.02683397E-01  1.88000820E+00  -3.21557116E+00  +1.00656857E+01  -1.33207829E-01  -3.08326630E-01  -1.04554977E-01  +1.67368041E-02
2.02683397E-01  1.92948210E+00  -3.70859843E+00  +9.89215010E+00  -9.08228877E-02  -3.05139121E-01  -1.14023636E-01  +1.70952888E-02
2.02683397E-01  1.97895600E+00  -4.19651690E+00  +9.70416373E+00  -4.92235377E-02  -3.01168519E-01  -1.23342181E-01  +1.58035685E-02
2.02683397E-01  2.02842990E+00  -4.67935317E+00  +9.50113008E+00  -1.08746281E-02  -2.96304965E-01  -1.32830268E-01  +1.29624586E-02
2.02683397E-01  2.07790380E+00  -5.15671961E+00  +9.28189915E+00  +2.19383150E-02  -2.90356251E-01  -1.42721963E-01  +8.77988759E-03
2.02683397E-01  2.12737770E+00  -5.62771902E+00  +9.04491022E+00  +4.72416394E-02  -2.83106402E-01  -1.53141219E-01  +3.55723926E-03
2.02683397E-01  2.17685160E+00  -6.09089633E+00  +8.78836941E+00  +6.34867214E-02  -2.74406269E-01  -1.64119305E-01  -2.33506549E-03
2.02683397E-01  2.22632550E+00  -6.54423829E+00  +8.51044061E+00  +6.96397849E-02  -2.64225244E-01  -1.75632452E-01  -8.49923922E-03
2.02683397E-01  2.27579940E+00  -6.98521869E+00  +8.20943267E+00  +6.52499054E-02  -2.52629752E-01  -1.87625103E-01  -1.45547598E-02
2.02683397E-01  2.32527330E+00  -7.41088811E+00  +7.88397420E+00  +5.04951535E-02  -2.39720734E-01  -2.00000530E-01  -2.01640162E-02
2.02683397E-01  2.37474720E+00  -7.81800946E+00  +7.53317075E+00  +2.61993565E-02  -2.25594287E-01  -2.12595703E-01  -2.50344089E-02
2.02683397E-01  2.42422110E+00  -8.20323788E+00  +7.15673611E+00  -6.19411664E-03  -2.10359177E-01  -2.25180471E-01  -2.89140869E-02
